epoch,accuracy,loss,val_accuracy,val_loss
0,0.3692222535610199,1.3314675092697144,0.39769452810287476,1.2936536073684692
1,0.6335455179214478,0.9977387189865112,0.6080691814422607,0.9580310583114624
2,0.7785773873329163,0.614243745803833,0.6858789920806885,0.8118888735771179
3,0.8494325876235962,0.42320847511291504,0.6945244669914246,0.7775740623474121
4,0.8796014189720154,0.33697009086608887,0.6945244669914246,0.8096241354942322
5,0.9014669060707092,0.2740670144557953,0.680115282535553,0.8583895564079285
6,0.9225021004676819,0.2280062586069107,0.6714697480201721,0.9019218683242798
7,0.9374480843544006,0.1896785944700241,0.6945244669914246,0.978546142578125
8,0.9474121332168579,0.1697346419095993,0.6945244669914246,1.0075732469558716
9,0.9593135714530945,0.1347169578075409,0.6628242135047913,1.118765115737915
10,0.9629117250442505,0.12454133480787277,0.6829971075057983,1.1760356426239014
11,0.9648491740226746,0.11896088719367981,0.680115282535553,1.212878704071045
12,0.9698311686515808,0.1027783453464508,0.6916426420211792,1.2757238149642944
13,0.9692776203155518,0.09904860705137253,0.680115282535553,1.2836663722991943
14,0.972875714302063,0.08726813644170761,0.6858789920806885,1.363311767578125
15,0.972875714302063,0.08855746686458588,0.6887608170509338,1.3669415712356567
16,0.9739828109741211,0.08147626370191574,0.6916426420211792,1.4375756978988647
17,0.973429262638092,0.0811418667435646,0.6916426420211792,1.4775198698043823
18,0.9761970639228821,0.07926822453737259,0.6858789920806885,1.4549908638000488
19,0.9767506122589111,0.06864449381828308,0.6829971075057983,1.5115660429000854
20,0.9775809645652771,0.06935513764619827,0.6714697480201721,1.5610729455947876
21,0.975643515586853,0.07177344709634781,0.680115282535553,1.5679261684417725
22,0.9786880612373352,0.06163712590932846,0.6887608170509338,1.5892449617385864
23,0.9792416095733643,0.05951544642448425,0.6887608170509338,1.5937763452529907
24,0.9767506122589111,0.06372732669115067,0.680115282535553,1.633299708366394
